year,first_author,icon,title,authors,journal,metrics
2026,TRUE,🧬,Dengue Virus Modulates the Fibrinolytic System to Drive Vascular Leakage and Serves as a Therapeutic Target for Tranexamic Acid,"Wen-Hung Wang, Chun-Yu Lin, Syun Huang, Yu-Te Tsai, Sheng-Fan Wang, Tzu-Chuan Ho, Yen-Hsu Chen",European Journal of Pharmacology · 2026 Feb 15;1015:178553. (Accepted),"SCI, impact factor = 4.7 · Pharmacology & Pharmacy = 54/352, Q1"
2025,FALSE,🦟,"An unexpected dengue outbreak in Taiwan, 2023: A retrospective analysis of potential risk factors","Tung YW, Yang ZS, Wen-Hung Wang, Hsu YT, ..., Chen YH, Wang SF",Journal of Infection and Public Health · 2025 Nov;18(11):102939,
2025,TRUE,🔬,Development of the novel gene chip and RFLP methods for rapid detection of Mycobacterium tuberculosis complex,"Wen-Hung Wang, Lin CY, Jain SH, Lu PL, Chen YH",J Microbiol Immunol Infect · 2025 Feb;58(1):56-61,
2024,FALSE,🦠,Antibodies from dengue patients with prior JEV exposure are broadly neutralizing against Zika virus,"Salem GM, Galula JU, Wu SR, ..., Wen-Hung WangH, Wang SF, et al.",Communications Biology · 2024 Jan 24;7(1):15,
2023,TRUE,🧪,Boosting SARS-CoV-2 detection performance through a sensitive optical biosensor with superior antibody,"Lin CY*, Wen-Hung Wang*, Li MC, Lin YT, Yang ZS, ..., Wang SF",Bioengineering & Translational Medicine · 2023. doi:10.1002/btm2.10410,
2023,FALSE,📊,Dengue Overview: An Updated Systemic Review,"Muhammad Bilal Khan, Zih-Syuan Yang, ..., Wen-Hung Wang, Yen-Hsu Chen, Sheng-Fan Wang",Journal of Infection and Public Health · 2023;16(10):1625-1642,
2023,FALSE,🐋,The association of obesity and dengue severity in hospitalized adult patients.,"Chiu YY, Lin CY, Yu LS, Wen-Hung Wang, Huang CH,Chen YH",Journal of Infection and Public Health · 2023;16(10):1625-1642,
2023,FALSE,✨,DC-SIGN and Galectin-3 individually and collaboratively regulate H5N1 and H7N9 avian influenza a virus infection via interaction with viral envelope hemagglutinin protein.,"Zih-Syuan Yang, Wen-Hung Wang, Yu-Ting Lin, ..., Yen-Hsu Chen, Sheng-Fan Wang",Glycobiology · 2023 May 17;33(4):311-324.,
2021,TRUE,💉,Targets and strategies for vaccine development against dengue viruses,"Wen-Hung Wang, Aspiro Nayim Urbina, Chih-Yen Lin, et al.","Biomedicine & Pharmacotherapy · Vol.144, Dec 2021, 112304",
2021,TRUE,🌍,Emerging and Re-Emerging Diseases,"Wen-Hung Wang, Arunee Thitithanyanont, Aspiro Nayim Urbina, Sheng-Fan Wang",Pathogens · 2021 Jul;10(7):827,
2021,FALSE,📘,[專書] The Antiviral Role of Galectins towards Influenza A Virus Infection,"Wen-Hung Wang, Jason C Huang, Fu-Tong Liu, Sheng-Fan Wang",VIDE LEAF · ISBN: 978-93-90014-03-3 · Sep 2021,
